,Date,Test,Investment Period (Months),RSI Window,Breakout window,Investment Value,Technical Filter Passed,Fundamental Filter Passed,Exit Value
0,2019-04-30,Test-1,1,40,10,100000,3,0,100000.0
1,2019-05-31,Test-1,1,40,10,100000,7,2,93182.7641097368
2,2019-06-30,Test-1,1,40,10,100000,53,10,98088.1794676299
3,2019-07-31,Test-1,1,40,10,100000,8,2,95954.79046873753
4,2019-08-31,Test-1,1,40,10,100000,25,7,111123.22436611947
5,2019-09-30,Test-1,1,40,10,100000,150,23,102875.13234187456
6,2019-10-31,Test-1,1,40,10,100000,37,3,103335.72385060508
7,2019-11-30,Test-1,1,40,10,100000,24,3,103799.0179453951
8,2019-12-31,Test-1,1,40,10,100000,23,4,116624.55162085273
9,2020-01-31,Test-1,1,40,10,100000,23,2,77074.07440153362
10,2020-02-29,Test-1,1,40,10,100000,2,0,100000.0
0,2019-04-30,Test-2,2,40,10,100000,3,0,100000.0
1,2019-06-30,Test-2,2,40,10,100000,53,10,97423.8826805331
2,2019-08-31,Test-2,2,40,10,100000,25,7,116900.40615681674
3,2019-10-31,Test-2,2,40,10,100000,37,3,96713.91352066057
4,2019-12-31,Test-2,2,40,10,100000,23,4,106344.08068118033
0,2019-04-30,Test-3,3,40,10,100000,3,0,100000.0
1,2019-07-31,Test-3,3,40,10,100000,8,2,93010.85219015997
2,2019-10-31,Test-3,3,40,10,100000,37,3,100452.64463806461
0,2019-04-30,Test-4,1,30,10,100000,5,0,100000.0
1,2019-05-31,Test-4,1,30,10,100000,20,2,97399.1836086665
2,2019-06-30,Test-4,1,30,10,100000,27,5,104430.65630853747
3,2019-07-31,Test-4,1,30,10,100000,7,2,100555.85619416411
4,2019-08-31,Test-4,1,30,10,100000,31,5,112340.83853596175
5,2019-09-30,Test-4,1,30,10,100000,107,12,101184.78762054886
6,2019-10-31,Test-4,1,30,10,100000,20,3,103190.39466031302
7,2019-11-30,Test-4,1,30,10,100000,21,3,94445.76071294669
8,2019-12-31,Test-4,1,30,10,100000,39,4,116120.91476574296
9,2020-01-31,Test-4,1,30,10,100000,14,1,100000.0
10,2020-02-29,Test-4,1,30,10,100000,2,1,100000.0
0,2019-04-30,Test-5,2,30,10,100000,5,0,100000.0
1,2019-06-30,Test-5,2,30,10,100000,27,5,101767.36782389296
2,2019-08-31,Test-5,2,30,10,100000,31,5,117015.13544908239
3,2019-10-31,Test-5,2,30,10,100000,20,3,101824.53803171494
4,2019-12-31,Test-5,2,30,10,100000,39,4,106647.73376673511
0,2019-04-30,Test-6,3,30,10,100000,5,0,100000.0
1,2019-07-31,Test-6,3,30,10,100000,7,2,111564.20704473465
2,2019-10-31,Test-6,3,30,10,100000,20,3,100967.80148724909
0,2019-04-30,Test-7,1,40,20,100000,22,2,106256.21830346737
1,2019-05-31,Test-7,1,40,20,100000,7,1,100000.0
2,2019-06-30,Test-7,1,40,20,100000,6,1,100000.0
3,2019-07-31,Test-7,1,40,20,100000,7,2,95954.79046873753
4,2019-08-31,Test-7,1,40,20,100000,16,2,107501.58287065147
5,2019-09-30,Test-7,1,40,20,100000,113,15,103681.7953830836
6,2019-11-30,Test-7,1,40,20,100000,10,1,100000.0
7,2019-12-31,Test-7,1,40,20,100000,10,1,100000.0
8,2020-01-31,Test-7,1,40,20,100000,51,8,94954.88946416075
9,2020-02-29,Test-7,1,40,20,100000,3,1,100000.0
0,2019-04-30,Test-8,2,40,20,100000,22,2,114338.7373326396
1,2019-06-30,Test-8,2,40,20,100000,6,1,100000.0
2,2019-08-31,Test-8,2,40,20,100000,16,2,117551.60592727622
3,2019-10-31,Test-8,2,40,20,100000,75,9,100492.9284449806
4,2019-12-31,Test-8,2,40,20,100000,10,1,100000.0
0,2019-04-30,Test-9,3,40,20,100000,22,2,107083.90042555577
1,2019-07-31,Test-9,3,40,20,100000,7,2,93010.85219015997
2,2019-10-31,Test-9,3,40,20,100000,75,9,99942.31351766043
0,2019-04-30,Test-10,1,30,20,100000,3,0,100000.0
1,2019-05-31,Test-10,1,30,20,100000,6,0,100000.0
2,2019-06-30,Test-10,1,30,20,100000,14,3,103102.7625649694
3,2019-07-31,Test-10,1,30,20,100000,4,1,100000.0
4,2019-08-31,Test-10,1,30,20,100000,37,7,108436.04636067325
5,2019-11-30,Test-10,1,30,20,100000,11,1,100000.0
6,2019-12-31,Test-10,1,30,20,100000,8,2,113503.48316864952
7,2020-01-31,Test-10,1,30,20,100000,52,9,90023.6749361241
8,2020-02-29,Test-10,1,30,20,100000,2,0,100000.0
0,2019-04-30,Test-11,2,30,20,100000,3,0,100000.0
1,2019-06-30,Test-11,2,30,20,100000,14,3,103950.33236627167
2,2019-08-31,Test-11,2,30,20,100000,37,7,115576.75591072212
3,2019-10-31,Test-11,2,30,20,100000,35,7,105919.98114634084
4,2019-12-31,Test-11,2,30,20,100000,8,2,102712.46706335628
0,2019-04-30,Test-12,3,30,20,100000,3,0,100000.0
1,2019-07-31,Test-12,3,30,20,100000,4,1,100000.0
2,2019-10-31,Test-12,3,30,20,100000,35,7,103555.68631440634
